decade,position,artist,album,indicativerevenue,us,uk,de,fr,ca,au
"2000s","1","Norah Jones","Come Away With Me","180111.615123589","1","1","2","1","1","1"
"2000s","2","Evanescence","Fallen","129550.942438346","3","1","2","2","1","1"
"2000s","3","Linkin Park","Hybrid Theory","122659.215318567","2","4","2","17","5","2"
"2000s","4","Green Day","American Idiot","115752.240133761","1","1","3","4","1","1"
"2000s","5","Eminem","The Eminem Show","111304.126946627","1","1","1","2","1","1"
"2000s","6","Coldplay","A Rush Of Blood To The Head","107550.405146231","5","1","1","4","1","1"
"2000s","7","Amy Winehouse","Back To Black","106503.780964705","2","1","1","1","4","4"
"2000s","8","Usher","Confessions","105260.298097561","1","1","2","4","1","2"
"2000s","9","Avril Lavigne","Let Go","104369.813645995","2","1","2","13","1","1"
"2000s","10","50 Cent","Get Rich Or Die Tryin'","101929.598823052","1","2","4","12","1","4"
"2000s","11","Santana","Supernatural","100590.931226432","1","1","1","1","1","1"
"2000s","12","Dido","No Angel","100585.550898286","4","1","2","1","4","1"
"2000s","13","Nickelback","All The Right Reasons","99931.173727191","1","2","4","67","1","2"
"2000s","14","Pink","Missundaztood","99728.7628014997","6","2","5","17","5","14"
"2000s","15","Maroon 5","Songs About Jane","98867.5358686717","6","1","5","1","3","1"
"2000s","16","Kelly Clarkson","Breakaway","98018.9726968246","3","3","4","20","6","2"
"2000s","17","Eminem","The Marshall Mathers LP","94407.6944121736","1","1","3","2","1","1"
"2000s","18","Enya","A Day Without Rain","91450.7362888484","2","6","1","33","4","4"
"2000s","19","Linkin Park","Meteora","91056.8092463795","1","1","1","3","2","2"
"2000s","20","Creed","Human Clay","91028.1046773265","4","29","9","-","3","2"
"2000s","21","Nelly","Country Grammar","90439.5014547056","1","14","45","109","7","4"
"2000s","22","The Black Eyed Peas","Elephunk","89385.2034162569","14","3","6","2","2","1"
"2000s","23","James Blunt","Back To Bedlam","88710.2053865979","2","1","1","2","1","1"
"2000s","24","The Killers","Hot Fuss","88244.7304442697","7","1","75","8","4","1"
"2000s","25","Britney Spears","Oops!... I Did It Again","87936.1450484268","1","2","1","1","1","2"
"2000s","26","Alicia Keys","Songs In 'A' Minor","85510.2452231414","1","6","2","12","2","3"
"2000s","27","Guns n' Roses","Guns & Roses' Greatest Hits","85102.4681122532","3","1","4","-","2","6"
"2000s","28","Original Soundtrack","O Brother, Where Art Thou?","83019.9721588184","1","-","87","9","3","15"
"2000s","29","Christina Aguilera","Stripped","82354.6948181072","2","2","6","49","3","7"
"2000s","30","Nelly Furtado","Loose","82164.2338559739","1","4","1","5","1","4"
"2000s","31","The Beatles","1","82055.7137074132","1","1","1","-","1","1"
"2000s","32","Shakira","Laundry Service : Washed And Dried","81472.8450488407","3","2","2","5","1","1"
"2000s","33","Shaggy","Hotshot: Ultramix (Special Edition)","81010.0802136193","1","1","1","5","1","2"
"2000s","34","Nickelback","Silver Side Up","80924.1335720994","2","1","4","15","1","5"
"2000s","35","The Black Eyed Peas","Monkey Business","80709.1657662791","2","4","1","1","1","1"
"2000s","36","Red Hot Chili Peppers","Californication","79618.8588542798","13","9","5","31","5","2"
"2000s","37","Beyonce","Dangerously In Love","79580.5574310742","1","1","1","14","1","2"
"2000s","38","Shania Twain","Up","78259.693858537","1","4","1","5","1","1"
"2000s","39","Destiny's Child","The Writing's On The Wall","77463.5189086821","5","10","34","40","5","2"
"2000s","40","U2","All That You Can't Leave Behind","77289.4849612251","3","1","1","1","1","1"
"2000s","41","N Sync","No Strings Attached","77289.2259409017","1","14","7","-","1","3"
"2000s","42","Rihanna","Good Girl Gone Bad","76989.1931961605","2","1","4","8","1","2"
"2000s","43","Moby","Play","75277.7825068907","38","1","21","1","13","1"
"2000s","44","Norah Jones","Feels Like Home","74684.7458902379","1","1","1","1","1","2"
"2000s","45","Limp Bizkit","Chocolate Starfish & The Hot Dog Flavoured Water","74540.3796399667","1","1","1","7","1","1"
"2000s","46","Gwen Stefani","Love Angel Music Baby","73876.1734605422","5","4","11","19","3","1"
"2000s","47","The Pussycat Dolls","PCD","73553.3772331971","5","7","6","23","-","8"
